7.514,-4.59687,0.912191,2.14281,0
7.968,6.50744,-6.88094,6.35421,0
8.33,0.567426,4.19943,6.22732,0
8.689,-6.0717,-0.392649,5.13078,0
9.049,10.999,2.91614,5.4109,0
9.411,-3.78045,2.86825,4.1683,0
9.772,-2.20745,4.09169,6.14352,0
10.133,-3.67271,9.86172,2.478,0
10.493,2.26252,3.32555,7.24486,0
10.851,-0.349553,5.25527,7.09641,0
11.21,-2.15239,6.55293,5.31513,0
11.574,-5.43244,4.25928,6.43322,0
11.931,-3.51948,6.86178,3.96001,0
12.296,-0.177171,5.77721,6.49786,0
12.659,1.91536,6.63194,5.72214,0
13.018,3.01669,4.70221,5.54497,0
13.463,5.5761,-3.50751,5.48751,0
13.822,4.15633,2.83713,7.75003,0
14.183,6.68222,-1.72143,4.35984,0
14.54,7.89129,-0.490811,5.2457,0
14.895,5.67905,0.998382,5.23133,0
15.252,9.47625,-1.49638,4.11324,0
15.61,4.60405,-5.76763,5.20739,0
15.968,4.90811,2.95684,5.16669,0
16.326,4.39097,9.07642,-3.0143,1
16.682,3.04782,11.5353,-5.45399,1
17.041,1.80283,5.06134,4.60884,0
17.399,4.40533,-5.18584,3.50272,0
17.76,2.54264,-10.5465,-5.32231,1
18.118,-1.46765,-13.9797,-1.61848,1
18.475,3.67989,3.35428,5.58328,0
18.919,4.40054,5.70059,-8.88728,1
19.278,6.23211,5.84664,-6.82347,1
19.64,3.90973,3.64398,3.95283,0
20.002,6.16986,-6.14352,3.96719,0
20.361,1.59454,-11.473,-1.67115,1
20.718,0.816423,-10.0844,-5.99508,1
21.077,1.60651,-11.7819,-1.46046,1
21.434,0.0526724,-1.18034,5.69102,0
21.793,3.7182,-0.428562,6.20577,0
22.152,1.26653,-0.797269,7.83862,0
22.509,1.31921,-0.711078,9.74201,0
22.871,-12.469,-2.54264,1.91057,0
23.228,3.18668,0.818817,10.1873,0
23.585,7.99185,1.652,11.8992,0
23.943,2.48758,-1.79326,6.76362,0
24.393,1.92015,-6.95516,19.6127,0
24.753,4.28802,2.74854,6.65349,0
25.116,0.435745,-0.1652,7.41006,0
25.478,0.28491,-0.0814029,7.59441,0
25.839,0.543484,-0.0670376,7.50103,0
26.2,0.418985,-0.0861913,7.37175,0
26.557,0.543484,-0.0670376,7.42682,0
26.919,0.648829,-0.222661,7.49146,0
27.28,0.464475,-0.0550666,7.48428,0
27.64,0.423774,-0.0311246,7.49625,0
28.002,0.52433,0.00957681,7.52019,0
28.36,0.292093,-0.047884,7.40527,0
28.719,0.629675,-0.237026,7.75482,0
29.083,0.411803,-0.0191536,7.58962,0
29.443,0.457293,-0.110133,7.52258,0
